name,height,mass,hair_color,skin_color,eye_color,birth_year,gender,homeworld,date
Luke Skywalker,172,77,blond,fair,blue,19BBY,male,Tatooine,2023-02-17
C-3PO,167,75,n/a,gold,yellow,112BBY,n/a,Tatooine,2023-02-17
R2-D2,96,32,n/a,"white, blue",red,33BBY,n/a,Naboo,2023-02-17
Darth Vader,202,136,none,white,yellow,41.9BBY,male,Tatooine,2023-02-17
Leia Organa,150,49,brown,light,brown,19BBY,female,Alderaan,2023-02-17
Owen Lars,178,120,"brown, grey",light,blue,52BBY,male,Tatooine,2023-02-17
Beru Whitesun lars,165,75,brown,light,blue,47BBY,female,Tatooine,2023-02-17
R5-D4,97,32,n/a,"white, red",red,unknown,n/a,Tatooine,2023-02-17
Biggs Darklighter,183,84,black,light,brown,24BBY,male,Tatooine,2023-02-17
Obi-Wan Kenobi,182,77,"auburn, white",fair,blue-gray,57BBY,male,Stewjon,2023-02-17
Anakin Skywalker,188,84,blond,fair,blue,41.9BBY,male,Tatooine,2023-02-17
Wilhuff Tarkin,180,unknown,"auburn, grey",fair,blue,64BBY,male,Eriadu,2023-02-17
Chewbacca,228,112,brown,unknown,blue,200BBY,male,Kashyyyk,2023-02-17
Han Solo,180,80,brown,fair,brown,29BBY,male,Corellia,2023-02-17
Greedo,173,74,n/a,green,black,44BBY,male,Rodia,2023-02-17
Jabba Desilijic Tiure,175,"1,358",n/a,"green-tan, brown",orange,600BBY,hermaphrodite,Nal Hutta,2023-02-17
Wedge Antilles,170,77,brown,fair,hazel,21BBY,male,Corellia,2023-02-17
Jek Tono Porkins,180,110,brown,fair,blue,unknown,male,Bestine IV,2023-02-17
Yoda,66,17,white,green,brown,896BBY,male,unknown,2023-02-17
Palpatine,170,75,grey,pale,yellow,82BBY,male,Naboo,2023-02-17
Boba Fett,183,78.2,black,fair,brown,31.5BBY,male,Kamino,2023-02-17
IG-88,200,140,none,metal,red,15BBY,none,unknown,2023-02-17
Bossk,190,113,none,green,red,53BBY,male,Trandosha,2023-02-17
Lando Calrissian,177,79,black,dark,brown,31BBY,male,Socorro,2023-02-17
Lobot,175,79,none,light,blue,37BBY,male,Bespin,2023-02-17
Ackbar,180,83,none,brown mottle,orange,41BBY,male,Mon Cala,2023-02-17
Mon Mothma,150,unknown,auburn,fair,blue,48BBY,female,Chandrila,2023-02-17
Arvel Crynyd,unknown,unknown,brown,fair,brown,unknown,male,unknown,2023-02-17
Wicket Systri Warrick,88,20,brown,brown,brown,8BBY,male,Endor,2023-02-17
Nien Nunb,160,68,none,grey,black,unknown,male,Sullust,2023-02-17
Qui-Gon Jinn,193,89,brown,fair,blue,92BBY,male,unknown,2023-02-17
Nute Gunray,191,90,none,mottled green,red,unknown,male,Cato Neimoidia,2023-02-17
Finis Valorum,170,unknown,blond,fair,blue,91BBY,male,Coruscant,2023-02-17
Padmé Amidala,185,45,brown,light,brown,46BBY,female,Naboo,2023-02-17
Jar Jar Binks,196,66,none,orange,orange,52BBY,male,Naboo,2023-02-17
Roos Tarpals,224,82,none,grey,orange,unknown,male,Naboo,2023-02-17
Rugor Nass,206,unknown,none,green,orange,unknown,male,Naboo,2023-02-17
Ric Olié,183,unknown,brown,fair,blue,unknown,male,Naboo,2023-02-17
Watto,137,unknown,black,"blue, grey",yellow,unknown,male,Toydaria,2023-02-17
Sebulba,112,40,none,"grey, red",orange,unknown,male,Malastare,2023-02-17
Quarsh Panaka,183,unknown,black,dark,brown,62BBY,male,Naboo,2023-02-17
Shmi Skywalker,163,unknown,black,fair,brown,72BBY,female,Tatooine,2023-02-17
Darth Maul,175,80,none,red,yellow,54BBY,male,Dathomir,2023-02-17
Bib Fortuna,180,unknown,none,pale,pink,unknown,male,Ryloth,2023-02-17
